course_id,course_name,semester_range,n_semesters,avg_final_grade,total_students,avg_pass_pct,avg_general_rank,n_general_rank,hist_url,cf_url
00440158,מעבדה בהנדסת חשמל 1ב,201901 to 202501,17,96.028,1355,99.934,3.588,17,https://michael-maltsev.github.io/technion-histograms/00440158/,https://cheesefork.cf/?course=00440158&semester=202502
00440191,מערכות בקרה 1,201002 to 202402,19,79.294,1423,93.194,3.611,18,https://michael-maltsev.github.io/technion-histograms/00440191/,https://cheesefork.cf/?course=00440191&semester=202502
00440198,מבוא לעבוד ספרתי של אותות,201002 to 202501,24,76.881,3138,93.112,3.600,25,https://michael-maltsev.github.io/technion-histograms/00440198/,https://cheesefork.cf/?course=00440198&semester=202502
00440202,אותות אקראיים,200402 to 202501,30,73.947,4810,87.773,3.096,52,https://michael-maltsev.github.io/technion-histograms/00440202/,https://cheesefork.cf/?course=00440202&semester=202502
00440214,טכניקות קליטה ושידור,201501 to 202401,8,80.271,170,95.353,3.273,11,https://michael-maltsev.github.io/technion-histograms/00440214/,https://cheesefork.cf/?course=00440214&semester=202501
00440252,מערכות ספרתיות ומבנה המחשב,201702 to 202501,21,79.275,7141,89.244,3.994,170,https://michael-maltsev.github.io/technion-histograms/00440252/,https://cheesefork.cf/?course=00440252&semester=202502
00440268,מבוא למבני נתונים ואלגוריתמים,201001 to 202501,26,76.426,4052,94.151,3.125,48,https://michael-maltsev.github.io/technion-histograms/00440268/,https://cheesefork.cf/?course=00440268&semester=202502
00440334,רשתות מחשבים ואינטרנט 1,201202 to 202501,23,77.526,2702,94.323,3.655,29,https://michael-maltsev.github.io/technion-histograms/00440334/,https://cheesefork.cf/?course=00440334&semester=202502
00450001,פרויקט מבוא בהנדסת חשמל ומחשבים,201401 to 202501,17,96.015,736,100.000,4.727,11,https://michael-maltsev.github.io/technion-histograms/00450001/,https://cheesefork.cf/?course=00450001&semester=202502
00450002,מבט,202201 to 202401,3,93.909,508,98.894,4.303,33,https://michael-maltsev.github.io/technion-histograms/00450002/,https://cheesefork.cf/?course=00450002&semester=202501
00460002,תכן וניתוח אלגוריתמים,201502 to 202402,16,76.562,826,93.654,3.478,23,https://michael-maltsev.github.io/technion-histograms/00460002/,https://cheesefork.cf/?course=00460002&semester=202502
00460042,מבוא למערכות הספק ורשת חכמה,201701 to 202401,8,87.678,692,96.301,4.400,10,https://michael-maltsev.github.io/technion-histograms/00460042/,https://cheesefork.cf/?course=00460042&semester=202501
00460189,תכן מסננים אנלוגיים,201502 to 202401,9,81.080,185,95.676,2.455,11,https://michael-maltsev.github.io/technion-histograms/00460189/,https://cheesefork.cf/?course=00460189&semester=202501
00460195,מערכות לומדות,201401 to 202402,20,79.155,2886,95.295,3.722,36,https://michael-maltsev.github.io/technion-histograms/00460195/,https://cheesefork.cf/?course=00460195&semester=202502
00460200,עבוד ונתוח תמונות,200401 to 202402,23,78.725,2553,95.412,3.962,26,https://michael-maltsev.github.io/technion-histograms/00460200/,https://cheesefork.cf/?course=00460200&semester=202502
00460202,עיבוד וניתוח מידע,201901 to 202501,7,79.869,505,96.202,3.238,21,https://michael-maltsev.github.io/technion-histograms/00460202/,https://cheesefork.cf/?course=00460202&semester=202501
00460203,תכנון ולמידה מחיזוקים,201902 to 202102,3,78.006,176,99.295,2.700,10,https://michael-maltsev.github.io/technion-histograms/00460203/,https://cheesefork.cf/?course=00460203&semester=202502
00460209,מבנה מערכות הפעלה,201202 to 202402,23,74.092,2322,89.077,2.862,29,https://michael-maltsev.github.io/technion-histograms/00460209/,https://cheesefork.cf/?course=00460209&semester=202502
00460237,מעגלים משולבים,200302 to 202402,19,79.589,1303,97.430,3.400,25,https://michael-maltsev.github.io/technion-histograms/00460237/,https://cheesefork.cf/?course=00460237&semester=202501
00460243,טכנולוגיות קוונטיות,201901 to 202402,11,85.126,325,94.932,4.333,18,https://michael-maltsev.github.io/technion-histograms/00460243/,https://cheesefork.cf/?course=00460243&semester=202502
00460265,ארכיטקטורות ומעגלים בשילוב ממריסטורים,201901 to 202201,4,83.151,205,100.000,3.000,12,https://michael-maltsev.github.io/technion-histograms/00460265/,https://cheesefork.cf/?course=00460265&semester=202501
00460267,מבנה מחשבים,201302 to 202501,22,77.842,2569,91.728,3.324,37,https://michael-maltsev.github.io/technion-histograms/00460267/,https://cheesefork.cf/?course=00460267&semester=202502
00460279,חישוב מקבילי מואץ,202202 to 202302,2,87.239,71,98.282,4.000,10,https://michael-maltsev.github.io/technion-histograms/00460279/,https://cheesefork.cf/?course=00460279&semester=202502
00460332,מערכות ראיה ושמיעה,201502 to 202402,19,81.794,1808,96.812,3.294,17,https://michael-maltsev.github.io/technion-histograms/00460332/,https://cheesefork.cf/?course=00460332&semester=202501
00460746,אלגוריתמים ויישומים בראייה ממוחשבת,201202 to 202402,14,84.400,981,97.179,3.318,22,https://michael-maltsev.github.io/technion-histograms/00460746/,https://cheesefork.cf/?course=00460746&semester=202402
00460880,תכן לוגי ממוחשב של שבבים,201602 to 202401,7,84.611,167,98.210,2.800,15,https://michael-maltsev.github.io/technion-histograms/00460880/,https://cheesefork.cf/?course=00460880&semester=202501
00540203,עקרונות הנדסה כימית 1 מ',201402 to 202402,10,75.413,741,93.860,3.091,11,https://michael-maltsev.github.io/technion-histograms/00540203/,https://cheesefork.cf/?course=00540203&semester=202502
00540316,תרמודינמיקה א' מתקדם,201802 to 202501,8,76.729,573,90.612,3.000,12,https://michael-maltsev.github.io/technion-histograms/00540316/,https://cheesefork.cf/?course=00540316&semester=202501
00560391,חיישנים מבוססי ננו,201502 to 202401,10,94.522,1371,99.673,3.800,10,https://michael-maltsev.github.io/technion-histograms/00560391/,https://cheesefork.cf/?course=00560391&semester=202502
00640118,תופעות מעבר חומר,201702 to 202402,8,77.322,493,93.927,3.600,10,https://michael-maltsev.github.io/technion-histograms/00640118/,https://cheesefork.cf/?course=00640118&semester=202502
00640212,טכנולוגיה של מזון,201601 to 202401,9,80.072,681,97.507,3.818,11,https://michael-maltsev.github.io/technion-histograms/00640212/,https://cheesefork.cf/?course=00640212&semester=202501
00640322,כימיה של מזון,201602 to 202402,9,74.733,664,96.587,2.800,15,https://michael-maltsev.github.io/technion-histograms/00640322/,https://cheesefork.cf/?course=00640322&semester=202502
00640325,מעבדה בביוכימיה,201602 to 202402,9,86.677,601,99.847,2.000,11,https://michael-maltsev.github.io/technion-histograms/00640325/,https://cheesefork.cf/?course=00640325&semester=202502
00640522,מבוא להנדסת ביוטכנולוגיה ומזון,201501 to 202501,11,90.600,801,99.605,3.300,20,https://michael-maltsev.github.io/technion-histograms/00640522/,https://cheesefork.cf/?course=00640522&semester=202501
00640523,מבוא לביוטכנולוגיה מולקולרית,201601 to 202501,10,78.620,773,88.158,4.273,11,https://michael-maltsev.github.io/technion-histograms/00640523/,https://cheesefork.cf/?course=00640523&semester=202501
